Term,Definition
机器学习是人是什么？,机器学习是人工智能的一个分支，它使计算机能够从数据中学习。
{{c1::机器学习}}是人工智能的一个分支，它使计算机能够从数据中学习。,机器学习是人工智能的一个分支，它使计算机能够从数据中学习。
机器学习,机器学习是人工智能的一个分支，它使计算机能够从数据中学习。
什么是机器？,定义：机器学习是通过算法让计算机从数据中提取规律的过程。
{{c1::定义}}：机器学习是通过算法让计算机从数据中提取规律的过程。,定义：机器学习是通过算法让计算机从数据中提取规律的过程。
定义,定义：机器学习是通过算法让计算机从数据中提取规律的过程。
机器学习分为是什么？,机器学习分为监督学习、无监督学习和强化学习三大类。
{{c1::机器学习分}}为监督学习、无监督学习和强化学习三大类。,机器学习分为监督学习、无监督学习和强化学习三大类。
机器学习分,机器学习分为监督学习、无监督学习和强化学习三大类。
什么是监督学习？,监督学习是指使用标记数据训练模型的方法。
{{c1::监督学习}}是指使用标记数据训练模型的方法。,监督学习是指使用标记数据训练模型的方法。
监督学习,监督学习是指使用标记数据训练模型的方法。
深度学习是机是什么？,深度学习是机器学习的一个子集，它使用多层神经网络。
{{c1::深度学习}}是机器学习的一个子集，它使用多层神经网络。,深度学习是机器学习的一个子集，它使用多层神经网络。
深度学习,深度学习是机器学习的一个子集，它使用多层神经网络。
深度学习的特点包括哪些？,深度学习的特点包括自动特征提取、端到端学习和大数据驱动。
深度学习的特点包括{{c1::自动特征提取、端到端学习和大数据驱动。}},深度学习的特点包括自动特征提取、端到端学习和大数据驱动。
卷积操作的特点包括哪些？,卷积操作的特点包括局部连接和权重共享。
卷积操作的特点包括{{c1::局部连接和权重共享。}},卷积操作的特点包括局部连接和权重共享。
激活函数的作是什么？,激活函数的作用是引入非线性。
{{c1::激活函数的作用}}是引入非线性。,激活函数的作用是引入非线性。
激活函数的作用,激活函数的作用是引入非线性。
池化层用于降是什么？,池化层用于降低特征图的维度。
{{c1::池化层用于降}}低特征图的维度。,池化层用于降低特征图的维度。
